,Medium,N2,O2,CO2,H2,CH4,CO,Air
0,14,100 %,,,,,,
1,38,100 %,,,,,,
2,54b,100 %,,,,,,
3,61,100 %,,,,,,
4,76,100 %,,,,,,
5,77,100 %,,,,,,
6,78,100 %,,,,,,
7,78b,80 %,,20 %,,,,
8,78d,80 %,,20 %,,,,
9,88a,100 %,,,,,,
10,88b,100 %,,,,,,
11,104a,100 %,,,,,,
12,104b,100 %,,,,,,
13,104c,80 %,,20 %,,,,
14,104d,100 %,,,,,,
15,110,100 %,,,,,,
16,110a,80 %,,20 %,,,,
17,119,,,20 %,80 %,,,
18,119a,,,20 %,80 %,,,
19,119c,100 %,,,,,,
20,120,100 %,,20 %,,,,
21,120a,100 %,,20 %,,,,
22,120b,,,20 %,80 %,,,
23,120c,100 %,,20 %,,,,
24,120d,100 %,,20 %,,,,
25,135b,80 %,,20 %,,,,
26,139,100 %,,,,,,
27,141,,,20 %,80 %,,,
28,141a,,,20 %,80 %,,,
29,141b,,,20 %,80 %,,,
30,143,100 %,,,,,,
31,144,100 %,,,,,,
32,144a,100 %,,,,,,
33,144b,80 %,,20 %,,,,
34,147,,,100 %,,,,
35,153,100 %,,,,,,
36,156,100 %,,,,,,
37,157,100 %,,,,,,
38,161,,,20 %,80 %,,,
39,165,80 %,,20 %,,,,
40,171,,,20 %,80 %,,,
41,173,100 %,,,,,,
42,174,100 %,,,,,,
43,181,,,100 %,,,,
44,203,,,20 %,80 %,,,
45,206,100 %,,,,,,
46,207,80 %,,20 %,,,,
47,210,100 %,,,,,,
48,211,100 %,,,,,,
49,215c,100 %,,,,,,
50,249,100 %,,,,,,
51,255,100 %,,,,,,
52,261,,5 %,10 %,45 %,,,
53,274,,,20 %,80 %,,,
54,280,80 %,,20 %,,,,
55,282,,,20 %,80 %,,,
56,282a,,,20 %,80 %,,,
57,282b,,,20 %,80 %,,,
58,283,,,20 %,80 %,,,
59,284,80 %,,20 %,,,,
60,286,100 %,,,,,,
61,287,,,20 %,80 %,,,
62,288,,,20 %,80 %,,,
63,289,100 %,,,,,,
64,293,80 %,,20 %,,,,
65,294,80 %,,20 %,,,,
66,295,80 %,,20 %,,,,
67,298,80 %,,20 %,,,,
68,298a,80 %,,20 %,,,,
69,298b,80 %,,20 %,,,,
70,311,80 %,,20 %,,,,
71,311b,80 %,,20 %,,,,
72,311c,80 %,,20 %,,,,
73,315,80 %,,20 %,,,,
74,317,80 %,,20 %,,,,
75,318,80 %,,20 %,,,,
76,318a,80 %,,20 %,,,,
77,318c,80 %,,20 %,,,,
78,319,100 %,,,,,,
79,321,,,20 %,80 %,,,
80,322,,,20 %,80 %,,,
81,325,80 %,,20 %,,,,
82,328,100 %,,,,,,
83,332,,,20 %,80 %,,,
84,338,100 %,,,,,,
85,339,100 %,,,,,,
86,339a,80 %,,20 %,,,,
87,340,90 %,,10 %,,,,
88,343,100 %,,,,,,
89,343a,100 %,,,,,,
90,348,80 %,,20 %,,,,
91,358,72 %,18 %,10 %,,,,
92,358a,,,20 %,80 %,,,
93,369,,5 %,10 %,45 %,,,
94,373,80 %,,20 %,,,,
95,374,80 %,,20 %,,,,
96,375,80 %,,20 %,,,,
97,377,100 %,,,,,,
98,377a,100 %,,,,,,
99,377b,80 %,,20 %,,,,
100,378,95 %,5 %,,,,,
101,380,99 %,1 %,,,,,
102,380a,99 %,1 %,,,,,
103,388,100 %,,,,,,
104,390,100 %,,,,,,
105,391,,,20 %,80 %,,,
106,395b,80 %,,20 %,,,,
107,396,100 %,,,,,,
108,399,,,20 %,80 %,,,
109,404,,,20 %,80 %,,,
110,408,100 %,,,,,,
111,411,100 %,,,,,,
112,412,80 %,,20 %,,,,
113,419,,,100 %,,,,
114,479,80 %,,20 %,,,,
115,479a,100 %,,,,,,
116,480,80 %,,20 %,,,,
117,480a,80 %,,20 %,,,,
118,480c,80 %,,20 %,,,,
119,480d,80 %,,20 %,,,,
120,482,100 %,,,,,,
121,483,80 %,,20 %,,,,
122,487,100 %,,,,,,
123,489,100 %,,,,,,
124,490,100 %,,,,,,
125,494,80 %,,20 %,,,,
126,498,100 %,,,,,,
127,499,100 %,,,,,,
128,500,80 %,,20 %,,,,
129,501,100 %,,,,,,
130,502,80 %,,20 %,,,,
131,503a,80 %,,20 %,,,,
132,506,,,20 %,80 %,,,
133,507a,50 %,,,,,50 %,
134,508,80 %,,20 %,,,,
135,511,,,20 %,80 %,,,
136,514e,100 %,,,,,,
137,516,80 %,,20 %,,,,
138,519,27 %,,20 %,53 %,,,
139,520,80 %,,20 %,,,,
140,521,100 %,,,,,,
141,524,100 %,,,,,,
142,525,80 %,,20 %,,,,
143,525a,80 %,,20 %,,,,
144,526,80 %,,20 %,,,,
145,536,90 %,,10 %,,,,
146,539,80 %,,20 %,,,,
147,557,100 %,,,,,,
148,558a,100 %,,,,,,
149,561,,,20 %,80 %,,,
150,579,80 %,,20 %,,,,
151,613,100 %,,,,,,
152,614,100 %,,,,,,
153,615,100 %,,,,,,
154,616,100 %,,,,,,
155,623,100 %,,,,,,
156,634,100 %,,,,,,
157,634a,100 %,,,,,,
158,634b,100 %,,,,,,
159,634c,80 %,,20 %,,,,
160,635,100 %,,,,,,
161,640,100 %,,,,,,
162,641,100 %,,,,,,
163,643,100 %,,,,,,
164,647,80 %,,20 %,,,,
165,647a,80 %,,20 %,,,,
166,648,80 %,,20 %,,,,
167,649,80 %,,20 %,,,,
168,663,100 %,,,,,,
169,664,80 %,,20 %,,,,
170,664a,80 %,,20 %,,,,
171,671,80 %,,20 %,,,,
172,677,100 %,,,,,,
173,683,80 %,,20 %,,,,
174,684,80 %,,20 %,,,,
175,685,100 %,,,,,,
176,688,100 %,,,,,,
177,690,80 %,,20 %,,,,
178,692,100 %,,,,,,
179,705,80 %,,20 %,,,,
180,708,80 %,,20 %,,,,
181,710,100 %,,,,,,
182,711,80 %,,20 %,,,,
183,713,80 %,,20 %,,,,
184,716,,,20 %,80 %,,,
185,717,80 %,,20 %,,,,
186,718,80 %,,20 %,,,,
187,718a,80 %,,20 %,,,,
188,719,80 %,,20 %,,,,
189,720,80 %,,20 %,,,,
190,722,80 %,,20 %,,,,
191,727,80 %,,20 %,,,,
192,728,80 %,,20 %,,,,
193,731,100 %,,,,,,
194,734,,,20 %,80 %,,,
195,740,100 %,,,,,,
196,742,100 %,,,,,,
197,743,,11 %,11 %,78 %,,,
198,744,,10 %,10 %,80 %,,,
199,749,100 %,,,,,,
200,760,80 %,,20 %,,,,
201,761,80 %,,20 %,,,,
202,764,80 %,,20 %,,,,
203,769,80 %,,20 %,,,,
204,771,80 %,,20 %,,,,
205,778,80 %,,20 %,,,,
206,778b,80 %,,20 %,,,,
207,779,95 %,,5 %,,,,
208,783,,,20 %,80 %,,,
209,784,100 %,,,,,,
210,784a,,,20 %,80 %,,,
211,786,80 %,,20 %,,,,
212,788,80 %,,20 %,,,,
213,794,80 %,,20 %,,,,
214,795a,,,20 %,80 %,,,
215,797,80 %,,10 %,10 %,,,
216,800,80 %,,20 %,,,,
217,813,100 %,,,,,,
218,813a,100 %,,,,,,
219,813b,100 %,,,,,,
220,814,100 %,,,,,,
221,815,100 %,,,,,,
222,815a,100 %,,,,,,
223,817,80 %,,20 %,,,,
224,818,100 %,,,,,,
225,819,80 %,,20 %,,,,
226,824,100 %,,,,,,
227,825,,,20 %,80 %,,,
228,827,80 %,,20 %,,,,
229,829,,,20 %,80 %,,,
230,829a,,,20 %,80 %,,,
231,829b,,,20 %,80 %,,,
232,829c,,,20 %,80 %,,,
233,829d,,,20 %,80 %,,,
234,830d,75 %,10 %,15 %,,,,
235,834,100 %,,,,,,
236,836,100 %,,,,,,
237,838,80 %,,20 %,,,,
238,840,80 %,,20 %,,,,
239,842,80 %,,20 %,,,,
240,843,80 %,,20 %,,,,
241,845,96 %,4 %,,,,,
242,846,80 %,,20 %,,,,
243,846a,80 %,,20 %,,,,
244,853,80 %,,20 %,,,,
245,853a,80 %,,20 %,,,,
246,853b,80 %,,20 %,,,,
247,854,80 %,,20 %,,,,
248,855,80 %,,20 %,,,,
249,860,80 %,,20 %,,,,
250,863,27 %,,20 %,53 %,,,
251,866,100 %,,,,,,
252,869,100 %,,,,,,
253,870,80 %,,20 %,,,,
254,872,80 %,,20 %,,,,
255,873,80 %,,20 %,,,,
256,876,80 %,,20 %,,,,
257,879,80 %,,20 %,,,,
258,880,80 %,,20 %,,,,
259,881,80 %,,20 %,,,,
260,883,50 %,,10 %,40 %,,,
261,889,,2 %,20 %,78 %,,,
262,891,,2 %,20 %,78 %,,,
263,892,,,20 %,80 %,,,
264,895,100 %,,,,,,
265,896,100 %,,,,,,
266,897,,,20 %,80 %,,,
267,898,100 %,,,,,,
268,898a,100 %,,,,,,
269,898b,100 %,,,,,,
270,899,80 %,,20 %,,,,
271,900,80 %,,20 %,,,,
272,902,100 %,,,,,,
273,903,80 %,,20 %,,,,
274,904,100 %,,,,,,
275,904a,100 %,,,,,,
276,905,40 %,,20 %,40 %,,,
277,906,100 %,,,,,,
278,913,100 %,,,,,,
279,924,80 %,,20 %,,,,
280,924a,80 %,,20 %,,,,
281,924b,80 %,,20 %,,,,
282,929,80 %,,20 %,,,,
283,933,80 %,,20 %,,,,
284,935a,100 %,,,,,,
285,945,100 %,,,,,,
286,946,80 %,,20 %,,,,
287,946a,80 %,,20 %,,,,
288,947,80 %,,20 %,,,,
289,959,100 %,,,,,,
290,959a,100 %,,,,,,
291,960,80 %,,20 %,,,,
292,961,,,20 %,80 %,,,
293,962,80 %,,20 %,,,,
294,962a,100 %,,20 %,,,,
295,963,80 %,,20 %,,,,
296,964,80 %,,20 %,,,,
297,965,100 %,,,,,,
298,968,100 %,,,,,,
299,968b,100 %,,,,,,
300,981,80 %,,20 %,,,,
301,985,80 %,,20 %,,,,
302,986,100 %,,,,,,
303,991,,,20 %,80 %,,,
304,997,,,20 %,80 %,,,
305,998,90 %,,10 %,,,,
306,1000,,,20 %,80 %,,,
307,1001,80 %,,20 %,,,,
308,1004,80 %,,20 %,,,,
309,1005,,,20 %,80 %,,,
310,1006,,,100 %,,,,
311,1008,100 %,,,,,,
312,1010,80 %,,20 %,,,,
313,1011b,80 %,,20 %,,,,
314,1011c,,,20 %,80 %,,,
315,1024,,,20 %,80 %,,,
316,1030,80 %,,20 %,,,,
317,1036,100 %,,,,,,
318,1040,80 %,,20 %,,,,
319,1041,80 %,,20 %,,,,
320,1042,100 %,,,,,,
321,1043,100 %,,,,,,
322,1051,80 %,,20 %,,,,
323,1053,,,20 %,80 %,,,
324,1055,80 %,,20 %,,,,
325,1056,54 %,,13 %,33 %,,,
326,1057,100 %,,,,,,
327,1058d,80 %,,20 %,,,,
328,1059,100 %,,,,,,
329,1062,80 %,,20 %,,,,
330,1068,100 %,,,,,,
331,1074,80 %,,20 %,,,,
332,1083,80 %,,20 %,,,,
333,1084,80 %,,20 %,,,,
334,1085,80 %,,20 %,,,,
335,1086,80 %,,20 %,,,,
336,1092,,,20 %,80 %,,,
337,1095,100 %,,,,,,
338,1097,80 %,,20 %,,,,
339,1098,,,20 %,80 %,,,
340,1099,100 %,,,,,,
341,1100,100 %,,,,,,
342,1101,100 %,,,,,,
343,1101a,100 %,,,,,,
344,1104,66 %,,,33 %,,,
345,1106,80 %,,20 %,,,,
346,1107,,,10 %,,,,
347,1110,,,20 %,80 %,,,
348,1112,80 %,,20 %,,,,
349,1116,80 %,,20 %,,,,
350,1121,80 %,,20 %,,,,
351,1146,,,20 %,80 %,,,
352,1155,,,20 %,80 %,,,
353,1163,100 %,,,,,,
354,1163a,100 %,,,,,,
355,1166,100 %,,,,,,
356,1166a,100 %,,,,,,
357,1188b,80 %,,20 %,,,,
358,1193,,,5 %,,,,
359,1198,,,5 %,,,,
360,1202,80 %,,20 %,,,,
361,1204,100 %,,,,,,
362,1205,100 %,,,,,,
363,1206,100 %,,,,,,
364,1210,80 %,,20 %,,,,
365,1210c,80 %,,20 %,,,,
366,1211,80 %,,20 %,,,,
367,1232,100 %,,,,,,
368,1233,100 %,,,,,,
369,1236,100 %,,,,,,
370,1243,80 %,,20 %,,,,
371,1248,100 %,,,,,,
372,1249,80 %,,20 %,,,,
373,1251,80 %,,20 %,,,,
374,1255,100 %,,,,,,
375,1257,,,20 %,80 %,,,
376,1263,100 %,,,,,,
377,1265,100 %,,,,,,
378,1271,80 %,,20 %,,,,
379,1273,,,20 %,80 %,,,
380,1277,80 %,,20 %,,,,
381,1277a,80 %,,20 %,,,,
382,1277b,80 %,,20 %,,,,
383,1278,80 %,,20 %,,,,
384,1288,80 %,,20 %,,,,
385,1292,80 %,,20 %,,,,
386,1294,80 %,,20 %,,,,
387,1297,100 %,,,,,,
388,1298,100 %,,,,,,
389,1299,100 %,,,,,,
390,1301,80 %,,20 %,,,,
391,1304,40 %,,10 %,50 %,,,
392,1315,90 %,,10 %,,,,
393,1318,40 %,,10 %,50 %,,,
394,1328,80 %,,20 %,,,,
395,1329,80 %,,20 %,,,,
396,1378,80 %,,20 %,,,,
397,1391,,3 %,20 %,77 %,,,
398,1451,80 %,,20 %,,,,
399,1456,80 %,,20 %,,,,
400,1459,80 %,,20 %,,,,
401,1474,80 %,,20 %,,,,
402,1476,80 %,,20 %,,,,
403,1477,100 %,,,,,,
404,1487,80 %,,20 %,,,,
405,1490,,,20 %,80 %,,,
406,1502,,,10 %,,,,
407,1503,,,5 %,,,,
408,1505,100 %,,,,,,
409,1505a,100 %,,,,,,
410,1508,80 %,,20 %,,,,
411,1513,100 %,,,,,,
412,1515,80 %,,20 %,,,,
413,1523,,,20 %,80 %,,,
414,1526,80 %,,20 %,,,,
415,1526a,80 %,,20 %,,,,
416,1526b,80 %,,20 %,,,,
417,1526c,80 %,,20 %,,,,
418,1526d,80 %,,20 %,,,,
419,1526e,80 %,,20 %,,,,
420,1527,80 %,,20 %,,,,
421,1527a,80 %,,20 %,,,,
422,1533,80 %,,20 %,,,,
423,1534,80 %,,20 %,,,,
424,1539,80 %,,20 %,,,,
425,1565,100 %,,,,,,
426,1571,80 %,,20 %,,,,
427,1577,80 %,,20 %,,,,
428,1579,,,100 %,,,,
429,1584,80 %,,20 %,,,,
430,1596,100 %,,,,,,
431,1599,100 %,,,,,,
432,1604,80 %,,20 %,,,,
433,1616,80 %,,20 %,,,,
434,1636,80 %,,20 %,,,,
435,1637,66 %,,7 %,27 %,,,
436,1639,100 %,,,,,,
437,1640,66 %,,7 %,27 %,,,
438,1650,80 %,,20 %,,,,
439,1661,100 %,,,,,,
440,1662,100 %,,,,,,
441,1663,100 %,,,,,,
442,1665,100 %,,,,,,
443,1667,80 %,,20 %,,,,
444,1700,80 %,,20 %,,,,
445,1705,80 %,,20 %,,,,
446,1707,80 %,,20 %,,,,
447,1708,100 %,,,,,,
448,1714,80 %,,20 %,,,,
449,1717,100 %,,,,,,
450,1718,,,20 %,80 %,,,
451,1731,80 %,,20 %,,,,
452,J174,,,10 %,,,,
453,J265,,,20 %,80 %,,,
454,J459,,,10 %,,,,
455,J524,,2 %,,,,,
456,J556,,,5 %,,,,
457,J563,,,100 %,,,,
458,J595,95 %,,5 %,,,,
459,J819,100 %,,,,,,
460,J826,,,2 %,,,,
461,J947,100 %,,,,,,
462,J968,100 %,,,,,,
463,J976,,1 %,,,,,
464,J978,,2 %,,,,,
465,J996,,,5 %,,,,
466,J997,100 %,,,,,,
467,J1000,100 %,,,,,,
468,J1013,100 %,,,,,,
469,J1029,,,100 %,,,,
470,J1085,80 %,,20 %,,,,
471,J1092,,5 %,,,,,
472,J1158,,,,5 %,,,
473,J1201,80 %,,20 %,,,,
474,J1203,100 %,,,,,,
475,J1218,80 %,,20 %,,,,
476,J1237,100 %,,,,,,
477,J1255,75 %,,4 %,17 %,,,
478,J1256,80 %,,20 %,,,,
479,J1257,80 %,,20 %,,,,
480,J1258,80 %,,20 %,,,,
481,J1305,,5 %,12 %,,,,
482,J1308,,10 %,,,,,
483,3,80 %,,20 %,,,,
484,533,,5 %,10 %,80 %,,,
485,673,100 %,,,,,,
