ID,Step,Solution,Solution_link,Medium,Mediums_link
step-6758,For Bacillus strains the addition of 10.0 mg MnSO4x H2O is recommended for sporulation.,1,/solutions/1,465i,/medium/465i
step-6294,Adjust pH to 7.0. For Bacillus strains the addition of 10.0 mg MnSO4x H2O is recommended for sporulation.,3,/solutions/3,1a,/medium/1a
step-6293,Rehydrate and grow lyophilized cells from the ampoule in 5 ml liquid broth 1. Subsequent subculturing may be carried out in liquid medium or on agar plates.,3,/solutions/3,1a,/medium/1a
step-6295,Adjust pH to 7.0.,5630,/solutions/5630,1774,/medium/1774
step-4,To medium 1 add 20 g/l urea before autoclaving. Do not adjust pH; pH raises to about 8 due to heat degraded urea.,4,/solutions/4,2,/medium/2
step-5,For sporulation enhancement add 10 mg/l MnSO4x H2O.,4,/solutions/4,2,/medium/2
step-6,Adjust pH to 7.3.,5,/solutions/5,3,/medium/3
step-7,"Sterilize glucose and mannitol separately (in 50 ml H2O) and add to the medium after autoclaving. Calcium carbonate in the medium serves as a buffer. The calcium carbonate will settle in agar plates before the agar has set, producing an opaque layer in the bottom. As the strain grows and acid is produced this will react with the calcium carbonate, causing it to dissolve and form zones of clearing immediately below the colonies.",5,/solutions/5,3,/medium/3
step-8,Adjust pH to 7.0,7,/solutions/7,7,/medium/7
step-10,Adjust pH to 6.8.,8,/solutions/8,8,/medium/8
step-11,"Sterilize vitamin B12separately by filtration. Prepare and store yeast cells as autoclaved stock suspension (5 g baker's yeast/100 ml distilled water, adjust pH to 6.5 and autoclave). Adjust pH of medium to 7.2 with KOH before, and after autoclaving and cooling to 50°C (use pH-indicator paper).",9,/solutions/9,9,/medium/9
step-14,"Cultures of myxobacteria delivered freeze-dried: Please see our video tutorial and follow the special instructions: 'Reactivation of Myxobacteria' given with the strain entry of our catalogue. For suspending the freeze-dried cells from ampoules, add about 0.5 - 1.0 ml medium MD1 (per liter: casiton 3.0 g; CaCl2x 2 H2O, 0.7 g; Mg2SO4x 7 H2O, 2.0 g) to the vial with freeze dried material.",9,/solutions/9,9,/medium/9
step-15,"Cultures of myxobacteria delivered as active cultures (growing on agar plates): Always use the rim of the swarm as inoculum for fresh media. If the swarms are creamy, transfer high amounts of cell mass to several spots on fresh VY/2 agar medium. If the swarm adheres to the agar or grows within the agar, cut small agar cubes from the rim of the swarm and place onto a fresh agar plate using an appropriate tool such as a lancet. Make sure that the pieces of swarm colonies grown on the agar are transferred to the agar plate. Attempt to place the inoculum in such a way that the swarms are in contact with the fresh agar plate.",9,/solutions/9,9,/medium/9
step-16,"Incubate for up to 3 weeks (in particular Sorangium and Nannocystis strains) at the temperature given for the strain, taking measures against desiccation. If there is no growth after ten days, carefully split up the agar-culture-cubes and squeeze the material to the agar plate and reincubate.",9,/solutions/9,9,/medium/9
step-17,"Sterilize vitamin B12separately by filtration. Prepare and store yeast cells as autoclaved stock suspension (5 g baker's yeast/100 ml distilled water, adjust pH to 6.5 and autoclave).",10,/solutions/10,9a,/medium/9a
step-6663,Adjust pH to 7.3.,5866,/solutions/5866,545b,/medium/545b
step-6664,"The same as Caso Bouillon (Merck or Oxoid, Germany).",5866,/solutions/5866,545b,/medium/545b
step-6665,Distribute into Hungate tubes and autoclave,257,/solutions/257,147,/medium/147
step-6666,Distribute into Hungate tubes and autoclave.,307,/solutions/307,181,/medium/181
step-18,"Incubate microaerobic, for example in a candle jar.",11,/solutions/11,10,/medium/10
step-19,Adjust pH to 6.2 - 6.5.,12,/solutions/12,11,/medium/11
step-20,Prepare medium 11 with additional vitamins. Adjust pH to 6.2 - 6.5,13,/solutions/13,11a,/medium/11a
step-21,"Cysteine is added after the medium has been boiled and cooled under CO2. Adjust pH to 6.2 - 6.5, distribute under N2and autoclave.",14,/solutions/14,11b,/medium/11b
step-6110,Boil the medium for a few minute.,5551,/solutions/5551,26,/medium/26
step-6888,Adjust pH to5.7.,5551,/solutions/5551,26,/medium/26
step-6890,Autoclave at121 °Cfor20 min.,3561,/solutions/3561,1722,/medium/1722
step-22,Sterilize 400.0 g of air-dried garden soil (with high content of organic matter) in 1000 ml tap water for one hour at 121°C. Allow it to sediment for a few hours at room temperature. Centrifuge the supernatant. Add 15.0 g agar per 1000 ml to the clear supernatant solution thus obtained. Adjust pH to 6.8 - 7.0 and sterilize.,15,/solutions/15,12,/medium/12
step-23,Adjust pH to 3.0 - 4.0.,17,/solutions/17,13,/medium/13
step-24,Sterilize solution A and B separately at 121°C for 15 min. Cool to 50°C and then combine.,16,/solutions/16,13,/medium/13
step-25,Dissolve ingredients (except carbonate and fructose) and sparge medium with 100% N2gas for at least 30 - 45 min to make it anoxic. Dispense medium under same gas atmosphere into anoxic Hungate-type tubes or serum vials and autoclave. Add fructose from a sterile anoxic stock solution prepared under 100% N2gas and carbonate from a sterile anoxic stock solution prepared under 80% N2and 20% CO2gas atmosphere. Adjust pH of complete medium to 8.0.,19,/solutions/19,14,/medium/14
step-26,First dissolve EDTA in distilled water and adjust pH to 7.0 using 2 N NaOH; then add other compounds.,20,/solutions/20,14,/medium/14
step-27,Adjust pH to 6.0.,21,/solutions/21,21,/medium/21
step-29,"Adjust pH to 4.9, then add:",22,/solutions/22,25,/medium/25
step-6889,Adjust pH to7.0.,3561,/solutions/3561,1722,/medium/1722
step-6297,"Sterilize in screw-capped bottles. Cool to room temperature; to each 100 ml medium add
0.2 ml of a sterile 10% Na2S203solution. Incubate in the light using a tungsten lamp",22,/solutions/22,25,/medium/25
step-6112,For Bacillus strains the addition of 10.0 mg MnSO4x H2O is recommended for sporulation.,5552,/solutions/5552,31,/medium/31
step-6113,After sterilization add sterile 1 M Na-sesquicarbonate solution (1 ml in 10 ml)  to achieve a pH of 9.7,5552,/solutions/5552,31,/medium/31
step-34,Adjust pH to 6.8.,24,/solutions/24,27,/medium/27
step-35,Boil the medium for a few minute. Bubble the medium with nitrogen gas and fill 10 ml in 15 ml tubes with a rubber septum under a stream of nitrogen gas. Autoclave at 121°C for 15 min. Sterile syringes are used to inoculate and remove samples.,24,/solutions/24,27,/medium/27
step-36,Incubate in the light using a tungsten lamp.,24,/solutions/24,27,/medium/27
step-6659,Lösung sterilflitrieren,5863,/solutions/5863,186a,/medium/186a
step-6660,nach dem Autoklavieren dazugeben,5862,/solutions/5862,186a,/medium/186a
step-6656,"Aliquot Solution A into 100 mL screw-cap bottles, filled with 46 mL each. Bubble with N2/CO2and autoclave at 121°C for 15 min.",27,/solutions/27,28,/medium/28
step-39,"Prepare in a screw-cap bottle, bubble with N2to replace air, close tightly and autoclave.",28,/solutions/28,28,/medium/28
step-40,"Bubble with CO2and filter sterilize into sterile, gas-tight, 100 ml screw-cap bottle.",29,/solutions/29,28,/medium/28
step-41,"Autoclave in a cotton-stoppered Erlenmeyer flask with an outlet tube for medium, connected to a glass outlet at the bottom of the vessel and has, at the other end, a silicon rubber tube with a pinch cock and a bell for aseptic dispensing of the medium into bottles.",30,/solutions/30,28,/medium/28
step-43,Cool to room temperature under an atmosphere of N2/CO2in an ice bath.,30,/solutions/30,28,/medium/28
step-6658,"Filter sterilize into sterile, gas-tight, 100 ml screw-cap bottle.",31,/solutions/31,28,/medium/28
step-45,Filter sterilized,32,/solutions/32,28,/medium/28
step-46,Adjust pH to 6.0.,33,/solutions/33,28,/medium/28
step-6652,"Add bicarbonate solution and Pfennig's heterotrophic salts to the resazurin (complete volumina, i.e. 50 mL bicarbonate solution and 26 mL Pfennig's heterotrophic salts solution). Bubble with CO2in an ice bath under sterile conditions.",26,/solutions/26,28,/medium/28
step-49,Adjust the pH with filter-sterilised 1M Na2CO3to 7.1-7.3.,26,/solutions/26,28,/medium/28
step-50,"If needed, aliquot into sterile, N2gassed screw-cap tubes under N2gas.",26,/solutions/26,28,/medium/28
step-51,"During the first 24 h, the iron of the medium precipitates in the form of black flocks. No other sediment should arise in the otherwise clear medium.",26,/solutions/26,28,/medium/28
step-6655,Feed the actively growing culture periodically with neutralized 3% solution of sodium sulfide (use 1 -3 mL/100 mL depending on strain and cultivation stage) to replenish sulfide and with other supplement solutions (see Ref. 3365).,26,/solutions/26,28,/medium/28
step-52,"The sulfide solution is prepared in a 250 ml screw-capped bottle with a butyl rubber septum and a magnetic stirrer. The solution is bubbled with nitrogen gas, closed and autoclaved for 15 min. at 121°C. After cooling to room temperature the pH is adjusted to about 7.0 by adding of sterile 2 M H2SO4drop-wise with a syringe without opening the bottle.",34,/solutions/34,28,/medium/28
step-6801,After inoculation pressurize vessels to 2 bar overpressure with sterile 80% H2and 20% CO2gas mixture.,5914,/solutions/5914,1782,/medium/1782
step-6119,Adjust pH to 7.8 with NaOH.,5558,/solutions/5558,86a,/medium/86a
step-6120,Solid media is prepared by the addition of 2 - 2.5% agar.,5558,/solutions/5558,86a,/medium/86a
step-6229,"Mix solution D, C and E. Bubble with CO2in an ice bath under sterile conditions.",5591,/solutions/5591,29a,/medium/29a
step-56,"Adjust to pH 7.5, anaerobic incubation under nitrogen/carbon dioxide atmosphere; light (see medium 28).",36,/solutions/36,28b,/medium/28b
