Organism Group,Name,Name Link,Taxonomy Link,Growth Media Links,External Links
Bacterium,Heyndrickxia coagulans DSM 1,/strains/view/DSM 1,/taxonomy?level=species&item=Weizmannia coagulans,"['/medium/453', '/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-1', 'https://bacdive.dsmz.de/strain/654']"
Bacterium,Paenibacillus macquariensis subsp. macquariensis DSM 2,/strains/view/DSM 2,/taxonomy?level=species&item=Paenibacillus macquariensis,['/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-2', 'https://bacdive.dsmz.de/strain/11477']"
Bacterium,Sporosarcina psychrophila DSM 3,/strains/view/DSM 3,/taxonomy?level=species&item=Sporosarcina psychrophila,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-3', 'https://bacdive.dsmz.de/strain/11984']"
Bacterium,Sporosarcina globispora DSM 4,/strains/view/DSM 4,/taxonomy?level=species&item=Sporosarcina globispora,"['/medium/514', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-4', 'https://bacdive.dsmz.de/strain/11976']"
Bacterium,Psychrobacillus insolitus DSM 5,/strains/view/DSM 5,/taxonomy?level=species&item=Psychrobacillus insolitus,['/medium/123'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-5', 'https://bacdive.dsmz.de/strain/1565']"
Bacterium,Peribacillus psychrosaccharolyticus DSM 6,/strains/view/DSM 6,/taxonomy?level=species&item=Peribacillus psychrosaccharolyticus,"['/medium/1', '/medium/514']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-6', 'https://bacdive.dsmz.de/strain/748']"
Bacterium,Bacillus amyloliquefaciens DSM 7,/strains/view/DSM 7,/taxonomy?level=species&item=Bacillus amyloliquefaciens,['/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-7', 'https://bacdive.dsmz.de/strain/598']"
Bacterium,Lederbergia lenta DSM 9,/strains/view/DSM 9,/taxonomy?level=species&item=Lederbergia lenta,"['/medium/220?strain=8', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-9', 'https://bacdive.dsmz.de/strain/683']"
Bacterium,Bacillus subtilis DSM 10,/strains/view/DSM 10,/taxonomy?level=species&item=Bacillus subtilis,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-10', 'https://bacdive.dsmz.de/strain/1172']"
Bacterium,Niallia circulans DSM 11,/strains/view/DSM 11,/taxonomy?level=species&item=Niallia circulans,"['/medium/1', '/medium/220', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-11', 'https://bacdive.dsmz.de/strain/642']"
Bacterium,Cytobacillus firmus DSM 12,/strains/view/DSM 12,/taxonomy?level=species&item=Cytobacillus firmus,"['/medium/1?strain=11', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-12', 'https://bacdive.dsmz.de/strain/675']"
Bacterium,Bacillus licheniformis DSM 13,/strains/view/DSM 13,/taxonomy?level=species&item=Bacillus licheniformis,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-13', 'https://bacdive.dsmz.de/strain/689']"
Bacterium,Bacillus sp. DSM 14,/strains/view/DSM 14,/taxonomy?level=species&item=Bacillus sp.,['/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-14', 'https://bacdive.dsmz.de/strain/865']"
Bacterium,Bacillus licheniformis DSM 15,/strains/view/DSM 15,/taxonomy?level=species&item=Bacillus licheniformis,['/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-15', 'https://bacdive.dsmz.de/strain/690']"
Bacterium,Geobacillus stearothermophilus DSM 22,/strains/view/DSM 22,/taxonomy?level=species&item=Geobacillus stearothermophilus,"['/medium/220', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-22', 'https://bacdive.dsmz.de/strain/1419']"
Bacterium,Bacillus badius DSM 23,/strains/view/DSM 23,/taxonomy?level=species&item=Bacillus badius,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-23', 'https://bacdive.dsmz.de/strain/602']"
Bacterium,Paenibacillus macerans DSM 24,/strains/view/DSM 24,/taxonomy?level=species&item=Paenibacillus macerans,"['/medium/1', '/medium/J22', '/medium/J75']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-24', 'https://bacdive.dsmz.de/strain/11475']"
Bacterium,Brevibacillus laterosporus DSM 25,/strains/view/DSM 25,/taxonomy?level=species&item=Brevibacillus laterosporus,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-25', 'https://bacdive.dsmz.de/strain/11407']"
Bacterium,Virgibacillus pantothenticus DSM 26,/strains/view/DSM 26,/taxonomy?level=species&item=Virgibacillus pantothenticus,"['/medium/1', '/medium/J75']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-26', 'https://bacdive.dsmz.de/strain/1474']"
Bacterium,Bacillus pumilus DSM 27,/strains/view/DSM 27,/taxonomy?level=species&item=Bacillus pumilus,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-27', 'https://bacdive.dsmz.de/strain/756']"
Bacterium,Lysinibacillus sphaericus DSM 28,/strains/view/DSM 28,/taxonomy?level=species&item=Lysinibacillus sphaericus,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-28', 'https://bacdive.dsmz.de/strain/1532']"
Bacterium,Paenibacillus alvei DSM 29,/strains/view/DSM 29,/taxonomy?level=species&item=Paenibacillus alvei,"['/medium/1', '/medium/J75']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-29', 'https://bacdive.dsmz.de/strain/11461']"
Bacterium,Brevibacillus brevis DSM 30,/strains/view/DSM 30,/taxonomy?level=species&item=Brevibacillus brevis,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-30', 'https://bacdive.dsmz.de/strain/11402']"
Bacterium,Bacillus cereus DSM 31,/strains/view/DSM 31,/taxonomy?level=species&item=Bacillus cereus,"['/medium/1', '/medium/693', '/medium/J22', '/medium/92']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-31', 'https://bacdive.dsmz.de/strain/624']"
Bacterium,Priestia megaterium DSM 32,/strains/view/DSM 32,/taxonomy?level=species&item=Priestia megaterium,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-32', 'https://bacdive.dsmz.de/strain/733']"
