Name,Name Link,ChEBI-ID,ChEBI-ID Link,CAS Registry NumberⓇ,CAS Registry NumberⓇ Link,Formula,Mass
Peptone,https://mediadive.dsmz.de/ingredients/1?p=1,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,73049-73-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=73049-73-7,complex,complex
Meat extract,https://mediadive.dsmz.de/ingredients/2?p=1,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex
Agar,https://mediadive.dsmz.de/ingredients/3?p=1,2509,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:2509,9002-18-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=9002-18-0,complex,complex
Distilled water,https://mediadive.dsmz.de/ingredients/4?p=1,15377,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15377,7732-18-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7732-18-5,H2O,18.0153
Glucose,https://mediadive.dsmz.de/ingredients/5?p=1,17234,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17234,50-99-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=50-99-7,C6H12O6,180.16
Mannitol,https://mediadive.dsmz.de/ingredients/6?p=1,29864,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29864,69-65-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=69-65-8,C6H14O6,182.17
CaCl2x 2 H2O,https://mediadive.dsmz.de/ingredients/7?p=1,86158,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86158,10035-04-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10035-04-8,CaCl2H4O2,147.015
MgSO4x 7 H2O,https://mediadive.dsmz.de/ingredients/8?p=1,31795,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31795,10034-99-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10034-99-8,SO4.7H2O.Mg,246.476
Na2MoO4x 2 H2O,https://mediadive.dsmz.de/ingredients/9?p=1,75213,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75213,10102-40-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10102-40-6,H2O.1/2MoO4.Na,241.95
K2HPO4,https://mediadive.dsmz.de/ingredients/10?p=1,131527,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:131527,7758-11-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7758-11-4,HK2O4P,174.176
KH2PO4,https://mediadive.dsmz.de/ingredients/11?p=1,63036,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63036,7778-77-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7778-77-0,H3O4P.K,136.085
FeSO4x 7 H2O,https://mediadive.dsmz.de/ingredients/12?p=1,75836,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75836,7782-63-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7782-63-0,FeH14O11S,278.015
CaCO3,https://mediadive.dsmz.de/ingredients/13?p=1,3311,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:3311,471-34-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=471-34-1,CCaO3,100.09
MnSO4x H2O,https://mediadive.dsmz.de/ingredients/14?p=1,86364,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86364,10034-96-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10034-96-5,H2MnO5S,169.016
Allantoin,https://mediadive.dsmz.de/ingredients/15?p=1,15676,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15676,97-59-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=97-59-6,C4H6N4O3,158.116
Yeast extract,https://mediadive.dsmz.de/ingredients/16?p=1,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,8013-01-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=8013-01-2,complex,complex
Baker's yeast,https://mediadive.dsmz.de/ingredients/17?p=1,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,68876-77-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=68876-77-7,complex,complex
Vitamin B12,https://mediadive.dsmz.de/ingredients/18?p=1,17439,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17439,68-19-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=68-19-9,C63H88CoN14O14P,1355.4
Bacto peptone,https://mediadive.dsmz.de/ingredients/19?p=1,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,51142-18-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=51142-18-8,complex,complex
