Name,Name Link,ChEBI-ID,ChEBI-ID Link,CAS Registry NumberⓇ,CAS Registry NumberⓇ Link,Formula,Mass,ID,PubChem CID,GESTIS ZVG-Nr.,group,Other ingredients from the group,kegg_id,density,Synonym,Used attributes,Found in,solutions list link,media list link,identifiers
Peptone,https://mediadive.dsmz.de/ingredients/1?p=1,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,73049-73-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=73049-73-7,complex,complex,C1,,,Peptone,"['Bacto peptone', 'Casein peptone', 'Soy peptone', 'Trypticase peptone', 'Phytone peptone', 'Peptone mixture', 'Tryptone peptone', 'Proteose peptone', 'Neopeptone', 'Polypeptone', 'Meat peptone', 'Fish peptone']",,,"['Pepton', 'Tryptones']","['BD BACTO (18×)', 'Oxoid (11×)', 'Bacto (9×)', 'Difco (7×)', 'BD-Difco (3×)', 'BD (3×)', '10% (2×)', 'meat (1×)', 'BD Biosciences (1×)', 'tryptic (1×)', 'BD 211677 (1×)', 'VWR J636-500g (1×)', 'w/v, 10% (1×)', '(1×)', 'Bacto Proteose Peptone No.3 (1×)', 'meat, peptic (1×)', 'BBL 11910 (1×)']","['327 solutions', '311 media']",https://mediadive.dsmz.de/solution-finder/Peptone///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Peptone///,"{""CAS Registry Number\u00ae"": {""text"": ""73049-73-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=73049-73-7""}}"
Meat extract,https://mediadive.dsmz.de/ingredients/2?p=1,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C2,,,Meat extract,"['Beef extract', 'Ground beef', 'Brain heart infusion', 'Meat infusion', 'Lab-Lemco beef extract', 'Tryptic Digest of beef heart', 'Bacto beef extract', 'Fish meat extract', 'Beef brain powder', 'Bacto brain heart infusion', 'Bacto Heart Infusion Broth', 'Beef', 'Cooked meat medium', 'Small dried sardine']",,,,"['OXOID (2×)', 'Difco (1×)']","['52 solutions', '53 media']",https://mediadive.dsmz.de/solution-finder/Meat+extract///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Meat+extract///,null
Agar,https://mediadive.dsmz.de/ingredients/3?p=1,2509,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:2509,9002-18-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=9002-18-0,complex,complex,C3,71571511,123201,Agar,"['Inorganic salts-starch agar', 'Yeast extract-malt extract agar', 'Czapek Dox agar', 'Bacto Middlebrook 7H10 agar', 'Corn meal agar', 'Fastidious Anaerobe Agar', 'Legionella agar enrichment', 'BCYE agar', 'Marine agar 2216', 'R agar', 'Oatmeal agar', 'Malt extract agar', 'Middlebrook 7H10 agar', 'Glycerol-asparagine agar', 'BL Agar', 'Mueller Hinton II agar', 'GAM agar', 'R2A agar', 'Brewer anaerobic agar', 'Brucella agar', 'Columbia blood agar base']",C08815,,"['(Agar', 'Agar agar', 'Agar agar flake', 'Agar Difco', 'Agar if appropriate', 'Agar if required', 'Agar if required 15.0-', 'Agar-agar', 'Bacto agar', 'BactoAgar', 'For solid media add agar at a concentration of', 'Nutrient agar', 'Purified agar', 'Reinforced clostridial agar', 'washed Agar']","['Bacto (21×)', 'BD-Difco, Bacto  (16×)', '(16×)', 'Difco (14×)', 'Oxoid L11 (7×)', 'BD Bacto (6×)', 'BD-Difco (2×)', 'Molecular Genetics or Oxoid Agar No. 1 (2×)', 'purified  (2×)', 'e.g. Difco Agar Noble, purified  (1×)', 'autoclaved, kept about 60°C, 3%, washed (1×)', 'Oxoid No. 1 (1×)', 'Sigma, reinforced clostridial (1×)', 'see Medium No. 74 (1×)', 'adjust if required in range 1.5-2.0 (1×)', 'washed agar with double distilled water (1×)', 'washed Noble-Agar (1×)', 'Noble (1×)', 'adjust in required in range 15-20 (1×)', 'if needed (1×)', 'Oxoid (1×)', 'e.g. Oxoid L28, purified  (1×)']","['908 solutions', '892 media']",https://mediadive.dsmz.de/solution-finder/Agar///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Agar///,"{""CAS Registry Number\u00ae"": {""text"": ""9002-18-0"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=9002-18-0""}, ""PubChem CID"": {""text"": ""71571511"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/71571511""}, ""ChEBI"": {""text"": ""2509"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:2509""}, ""KEGG"": {""text"": ""C08815"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C08815""}, ""GESTIS ZVG-Nr."": {""text"": ""123201"", ""href"": ""https://gestis.dguv.de/data?name=123201""}}"
Distilled water,https://mediadive.dsmz.de/ingredients/4?p=1,15377,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15377,7732-18-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7732-18-5,H2O,18.0153,C4,962,1140,Distilled water,"['H2O', 'Deionized water', 'Water']",C00001,1.00293,"['a.dest', 'acqua', 'add distilled water', 'Add distilled water to', 'agua', 'aqua', 'BOUND WATER', 'Degassed distilled H2O', 'Deionized water', 'Dest. Water', 'Destilled water', 'dihydridooxygen', 'dihydrogen oxide', 'Dist. water', 'Disteilled water', 'Distilled water acidified to pH 3.0 with HCl', 'Distilled water ad', 'Distilled water add', 'Distilled water make up to', 'Distilled water to', 'Distilled water up to', 'eau', 'H2O', 'H2O dest', 'H2O dest.', 'HOH', 'hydrogen hydroxide', 'Make up distilled water to', 'oxidane', 'Purified water', 'Wasser', 'Water', '[OH2]']","['for liquid medium (2×)', 'or deionized water (2×)', 'ad (2×)', 'freshly distilled (1×)', 'for solid medium (1×)', 'degassed (1×)', 'autoclaved (1×)', '(1×)', 'add up to 200 ml (1×)', 'MilliQ (1×)', 'acidified to pH 3.0 with HCl (1×)']","['4049 solutions', '2774 media']",https://mediadive.dsmz.de/solution-finder/Distilled+water///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Distilled+water///,"{""CAS Registry Number\u00ae"": {""text"": ""7732-18-5"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7732-18-5""}, ""PubChem CID"": {""text"": ""962"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/962""}, ""ChEBI"": {""text"": ""15377"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15377""}, ""KEGG"": {""text"": ""C00001"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00001""}, ""MetaCyc"": {""text"": ""WATER"", ""href"": ""https://metacyc.org/compound?orgid=META&id=WATER""}, ""GESTIS ZVG-Nr."": {""text"": ""1140"", ""href"": ""https://gestis.dguv.de/data?name=001140""}}"
Glucose,https://mediadive.dsmz.de/ingredients/5?p=1,17234,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17234,50-99-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=50-99-7,C6H12O6,180.16,C5,5793,19010,Glucose,"['D(+)-Glucose', 'D-Glucose']",C00293,1.544,"['(+)-Glucose', 'Anhydrous dextrose', 'Brake (pH-encapsulated glucose)', 'C*Dry GL 01934', 'Cartose', 'Cerelose', 'Cerelose 2001', 'Chemical diabetes', 'Clearsweet 95', 'Clintose L', 'Corn sugar', 'CPC hydrate', 'D 50W', 'D(+)-Glucose', 'D-Glucose', 'Dextropur', 'Dextrose', 'Dextrosol', 'DL-glucose', 'FeedBead', 'Glc', 'gluco-hexose', 'Glucodin', 'Glucolin', 'Glucopyranose', 'Glucose (50% aqueous )', 'Glucose 0.40 ml/', 'Glucose 1 M 0.2 ml /', 'Glucose 10%', 'Glucose 1M', 'Glucose 50 % solution', 'Glucose intolerance', 'Glucose sol.', 'Glucosoft', 'Glucosteril', 'Glukose', 'Goldsugar', 'Grape sugar', 'Hi-Fructo M', 'Hi-Mesh', 'Impaired glucose tolerance', 'Latent diabetes', 'Malabsorption of glucose', 'Maxim Energy Gel', 'Meritose', 'Meritose 200', 'NSC 287045', 'Roclys C 30725', 'Roferose ST', 'Staleydex 111', 'Staleydex 130', 'Staleydex 333', 'Staleydex 95M', 'Sugar, grape', 'Tabfine 097(HS)', 'Tackidex 30L75', 'TDA-C', 'TDA-CJ', 'TDA-S', 'Toleran G', 'Vadex']","['1 M (22×)', '10% (9×)', '1.0 M (8×)', '2.5%, sterile-filtered (6×)', '20% (4×)', '2.5% (3×)', 'w/v, 10% (3×)', '50 % (3×)', 'filter-sterilized, 0.2M (2×)', '30% w/v; sterile (2×)', '1M (2×)', 'sterilized separately (2×)', '25%, sterile-filtered (2×)', 'w/v, 20% (2×)', '*, 1 M (2×)', '*, 1.0 M (2×)', '(2×)', '20%; sterile filtered (1×)', 'autoclaved, 50% (1×)', 'filter-sterilized, 20 % (1×)', '10 % (1×)', 'added separately (1×)', '10% w/v (1×)', '10 % w/v (1×)', '10% v/v (1×)', '20% v/v (1×)', 'alpha-, D+ (1×)', '50% (1×)', 'filter-sterilized (1×)', '50 % aqueous (1×)', 'autoclaved, 1.0 M (1×)', '40% (w/v) (1×)']","['592 solutions', '583 media']",https://mediadive.dsmz.de/solution-finder/Glucose///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Glucose///,"{""CAS Registry Number\u00ae"": {""text"": ""50-99-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=50-99-7""}, ""PubChem CID"": {""text"": ""5793"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5793""}, ""ChEBI"": {""text"": ""17234"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17234""}, ""KEGG"": {""text"": ""C00293"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00293""}, ""GESTIS ZVG-Nr."": {""text"": ""19010"", ""href"": ""https://gestis.dguv.de/data?name=019010""}}"
Mannitol,https://mediadive.dsmz.de/ingredients/6?p=1,29864,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29864,69-65-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=69-65-8,C6H14O6,182.17,C6,6251,491206,Mannitol,['D-Mannitol'],,,['D-Mannitol'],,"['22 solutions', '22 media']",https://mediadive.dsmz.de/solution-finder/Mannitol///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Mannitol///,"{""CAS Registry Number\u00ae"": {""text"": ""69-65-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=69-65-8""}, ""PubChem CID"": {""text"": ""6251"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/6251""}, ""ChEBI"": {""text"": ""29864"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29864""}, ""GESTIS ZVG-Nr."": {""text"": ""491206"", ""href"": ""https://gestis.dguv.de/data?name=491206""}}"
CaCl2x 2 H2O,https://mediadive.dsmz.de/ingredients/7?p=1,86158,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86158,10035-04-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10035-04-8,CaCl2H4O2,147.015,C7,,1910,CaCl2,"['CaCl2', 'CaCl2 x 6 H2O', 'CaCl2 x H2O', 'CaCl2 x 7 H2O', 'Calcium Chloride', 'Calcium chloride dihydrate']",,,"['Ca2Cl x 2 H2O', 'CaCl 2 x 2 H2O', 'CaCl x 2 H2O', 'CaCl2.2H2O', 'CaCl22H2O', 'Calcium chloride', 'Calcium chloride hydrate', 'calcium chloride--water (1/2)', 'calcium dichloride dihydrate']","['3.6 g/l stock solution (6×)', '50 g/l stock solution (6×)', '1 M (5×)', '2.5 g/l stock solution (5×)', '0.1% w/v (4×)', '1% (4×)', '30 mM (3×)', '10% (2×)', '26.8 g/l stock solution (2×)', '1 g/400 ml stock solution (2×)', '1.8 g/500 ml stock solution (2×)', '7% (2×)', '3 g/100 ml stock solution (2×)', '68 mM (1×)', '36.76 g/l stock solution (1×)', '0.4% (1×)', '1.88 M (1×)', 'w/v, 5% (1×)', '7.5% stock solution (1×)', '5% (1×)', '30mM (1×)', '5M (1×)', '3.68 g/100 ml stock solution (1×)']","['1475 solutions', '1571 media']",https://mediadive.dsmz.de/solution-finder/CaCl2+x+2+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/CaCl2+x+2+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""10035-04-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=10035-04-8""}, ""ChEBI"": {""text"": ""86158"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86158""}, ""GESTIS ZVG-Nr."": {""text"": ""1910"", ""href"": ""https://gestis.dguv.de/data?name=001910""}}"
MgSO4x 7 H2O,https://mediadive.dsmz.de/ingredients/8?p=1,31795,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31795,10034-99-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10034-99-8,SO4.7H2O.Mg,246.476,C8,,2330,MgSO4,"['MgSO4', 'MgSO4 x 6 H2O', 'Magnesium sulfate', 'MgSO4 x H2O', 'Magnesium sulfate heptahydrate']",C12505,,"['bitter salt', 'epsom salt', 'epsomite', 'Magnesium sulfate', 'magnesium sulfate (1:1) heptahydrate', 'magnesium sulfate heptahydrate', 'magnesium sulfate--water (1/7)', 'magnesium sulphate heptahydrate', 'MgSO 4 x 7 H2O', 'MgSO x 7 H2O', 'MgSO2 x 7 H2O', 'MgSO4.7H2O', 'Reduce the MgSO4 x 7 H2O to', 'sulfuric acid magnesium salt heptahydrate']","['7.5 g/l stock solution (10×)', '1 g/l stock solution (4×)', '0.5% (3×)', '10.0 g/200 ml stock solution (3×)', '1.0 g/l stock solution (3×)', '20 mM (3×)', '25% (2×)', '1 M (2×)', '178.8 g/l stock solution (2×)', '3 g/400 ml stock solution (2×)', '3.75 g/500 ml stock solution (2×)', '24.4 g/100 ml stock solution (2×)', '50 g/l stock solution (1×)', '2 g/100 ml stock solution (1×)', '10% (1×)', '3.7 g/100 ml stock solution (1×)', '15% (1×)', '0.28 g/100 ml stock solution (1×)', 'w/v, 5% (1×)', '20 g/l stock solution (1×)', '20 % (1×)', '36.97 g/l stock solution (1×)', '20% stock solution (1×)', '0.1% w/v (1×)', '100 mM (1×)', '1M (1×)', '20mM (1×)', '5 g/200 ml stock solution (1×)']","['1265 solutions', '1488 media']",https://mediadive.dsmz.de/solution-finder/MgSO4+x+7+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/MgSO4+x+7+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""10034-99-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=10034-99-8""}, ""ChEBI"": {""text"": ""31795"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31795""}, ""KEGG"": {""text"": ""C12505"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C12505""}, ""MetaCyc"": {""text"": ""CPD0-2387"", ""href"": ""https://metacyc.org/compound?orgid=META&id=CPD0-2387""}, ""GESTIS ZVG-Nr."": {""text"": ""2330"", ""href"": ""https://gestis.dguv.de/data?name=002330""}}"
Na2MoO4x 2 H2O,https://mediadive.dsmz.de/ingredients/9?p=1,75213,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75213,10102-40-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10102-40-6,H2O.1/2MoO4.Na,241.95,C9,,122441,Na2MoO4,"['Na2MoO4 x H2O', 'Na2MoO4', 'Na2MoO4 x 7 H2O', 'Na2 MoO4 x 2 H2O']",,,"['Disodium molybdate dihydrate', 'Molybdic acid, disodium salt, dihydrate', 'Na2MoO4 x 2 H2O solution', 'Na2MoO4.2H2O', 'Na2WoO4 x 2 H2O', 'NaMoO4 x 2 H2O', 'sodium dioxido(dioxo)molybdenum--water (1/2)', 'Sodium molybdate(VI) dihydrate', 'sodium orthomolybdate dihydrate']","['0.1% w/v (4×)', '0.2 g/l stock solution (2×)', '2.7 g/L stock solution (2×)', '(1×)', 'final concentration 0.005 g/l (1×)', '12 g/L (1×)', '1 % (1×)', '0.063 g/10 ml stock solution (1×)', '0.199 g/10 ml stock solution (1×)', '0.63 g/100 ml stock solution (1×)']","['334 solutions', '1405 media']",https://mediadive.dsmz.de/solution-finder/Na2MoO4+x+2+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na2MoO4+x+2+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""10102-40-6"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=10102-40-6""}, ""ChEBI"": {""text"": ""75213"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75213""}, ""GESTIS ZVG-Nr."": {""text"": ""122441"", ""href"": ""https://gestis.dguv.de/data?name=122441""}}"
K2HPO4,https://mediadive.dsmz.de/ingredients/10?p=1,131527,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:131527,7758-11-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7758-11-4,HK2O4P,174.176,C10,24450,5390,K2HPO4,"['K2HPO4 x 3 H2O', 'Dipotassium Phosphate']",C13197,,"['Dibasic potassium phosphate', 'dipotassium hydrogen phosphate', 'Dipotassium hydrogenorthophosphate', 'dipotassium hydrogenphosphate', 'Dipotassium monohydrogen phosphate', 'Dipotassium monophosphate', 'Dipotassium orthophosphate', 'Dipotassium phosphate', 'Hydrogen dipotassium phosphate', 'K2HPO', 'Phosphoric acid, dipotassium salt', 'Potassium dibasic phosphate', 'potassium dibasic phosphate trihydrate', 'Potassium monohydrogen phosphate', 'Potassium monophosphate', 'Potassium phosphate (dibasic)', 'Potassium phosphate, dibasic']","['1 g/l stock solution (4×)', '0.5 M (3×)', '1 M (3×)', '1.0 g/l stock solution (3×)', '4.35 g/l stock solution (3×)', '7% (2×)', '3 g/400 ml stock solution (2×)', '2 g/500 ml stock solution (2×)', '609 mM (1×)', 'autoclaved, 5% (1×)', '0.1 M (1×)', '1ml of 300 mM stock solution per liter (1×)', '4 g/l stock solution (1×)', '4 g in 100 ml H2O (1×)', 'anhydrous (1×)', 'anhydrous basis (1×)', '0.51 g/100 ml stock solution (1×)', 'autoclaved separately (1×)', '10% (1×)', '0.1% w/v (1×)', '0.5M (1×)']","['896 solutions', '900 media']",https://mediadive.dsmz.de/solution-finder/K2HPO4///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/K2HPO4///,"{""CAS Registry Number\u00ae"": {""text"": ""7758-11-4"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7758-11-4""}, ""PubChem CID"": {""text"": ""24450"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/24450""}, ""ChEBI"": {""text"": ""131527"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:131527""}, ""KEGG"": {""text"": ""C13197"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C13197""}, ""MetaCyc"": {""text"": ""CPD0-2433"", ""href"": ""https://metacyc.org/compound?orgid=META&id=CPD0-2433""}, ""GESTIS ZVG-Nr."": {""text"": ""5390"", ""href"": ""https://gestis.dguv.de/data?name=005390""}}"
