Organism Group,Name,Name Link,Taxonomy Link,Growth media,Growth Media Links,External Links
Bacterium,Heyndrickxia coagulans DSM 1,https://mediadive.dsmz.de/strains/view/DSM 1,https://mediadive.dsmz.de/taxonomy?level=species&item=Weizmannia coagulans,"['453', '1', 'J22']","['https://mediadive.dsmz.de/medium/453', 'https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-1', 'https://bacdive.dsmz.de/strain/654']"
Bacterium,Paenibacillus macquariensis subsp. macquariensis DSM 2,https://mediadive.dsmz.de/strains/view/DSM 2,https://mediadive.dsmz.de/taxonomy?level=species&item=Paenibacillus macquariensis,['1'],['https://mediadive.dsmz.de/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-2', 'https://bacdive.dsmz.de/strain/11477']"
Bacterium,Sporosarcina psychrophila DSM 3,https://mediadive.dsmz.de/strains/view/DSM 3,https://mediadive.dsmz.de/taxonomy?level=species&item=Sporosarcina psychrophila,"['1', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-3', 'https://bacdive.dsmz.de/strain/11984']"
Bacterium,Sporosarcina globispora DSM 4,https://mediadive.dsmz.de/strains/view/DSM 4,https://mediadive.dsmz.de/taxonomy?level=species&item=Sporosarcina globispora,"['514', 'J22']","['https://mediadive.dsmz.de/medium/514', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-4', 'https://bacdive.dsmz.de/strain/11976']"
Bacterium,Psychrobacillus insolitus DSM 5,https://mediadive.dsmz.de/strains/view/DSM 5,https://mediadive.dsmz.de/taxonomy?level=species&item=Psychrobacillus insolitus,['123'],['https://mediadive.dsmz.de/medium/123'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-5', 'https://bacdive.dsmz.de/strain/1565']"
Bacterium,Peribacillus psychrosaccharolyticus DSM 6,https://mediadive.dsmz.de/strains/view/DSM 6,https://mediadive.dsmz.de/taxonomy?level=species&item=Peribacillus psychrosaccharolyticus,"['1', '514']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/514']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-6', 'https://bacdive.dsmz.de/strain/748']"
Bacterium,Bacillus amyloliquefaciens DSM 7,https://mediadive.dsmz.de/strains/view/DSM 7,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus amyloliquefaciens,['1'],['https://mediadive.dsmz.de/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-7', 'https://bacdive.dsmz.de/strain/598']"
Bacterium,Lederbergia lenta DSM 9,https://mediadive.dsmz.de/strains/view/DSM 9,https://mediadive.dsmz.de/taxonomy?level=species&item=Lederbergia lenta,"['220*', 'J22']","['https://mediadive.dsmz.de/medium/220?strain=8', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-9', 'https://bacdive.dsmz.de/strain/683']"
Bacterium,Bacillus subtilis DSM 10,https://mediadive.dsmz.de/strains/view/DSM 10,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus subtilis,"['1', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-10', 'https://bacdive.dsmz.de/strain/1172']"
Bacterium,Niallia circulans DSM 11,https://mediadive.dsmz.de/strains/view/DSM 11,https://mediadive.dsmz.de/taxonomy?level=species&item=Niallia circulans,"['1', '220', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/220', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-11', 'https://bacdive.dsmz.de/strain/642']"
Bacterium,Cytobacillus firmus DSM 12,https://mediadive.dsmz.de/strains/view/DSM 12,https://mediadive.dsmz.de/taxonomy?level=species&item=Cytobacillus firmus,"['1*', 'J22']","['https://mediadive.dsmz.de/medium/1?strain=11', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-12', 'https://bacdive.dsmz.de/strain/675']"
Bacterium,Bacillus licheniformis DSM 13,https://mediadive.dsmz.de/strains/view/DSM 13,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus licheniformis,"['1', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-13', 'https://bacdive.dsmz.de/strain/689']"
Bacterium,Bacillus sp. DSM 14,https://mediadive.dsmz.de/strains/view/DSM 14,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus sp.,['1'],['https://mediadive.dsmz.de/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-14', 'https://bacdive.dsmz.de/strain/865']"
Bacterium,Bacillus licheniformis DSM 15,https://mediadive.dsmz.de/strains/view/DSM 15,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus licheniformis,['1'],['https://mediadive.dsmz.de/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-15', 'https://bacdive.dsmz.de/strain/690']"
Bacterium,Geobacillus stearothermophilus DSM 22,https://mediadive.dsmz.de/strains/view/DSM 22,https://mediadive.dsmz.de/taxonomy?level=species&item=Geobacillus stearothermophilus,"['220', 'J22']","['https://mediadive.dsmz.de/medium/220', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-22', 'https://bacdive.dsmz.de/strain/1419']"
