ID,Source,Name,Name Link,Type,Final PH,Tax.range type,Strains number,Strains links,PDF
1,DSMZ,NUTRIENT AGAR,https://mediadive.dsmz.de/medium/1,['complex'],7.0,"['Bacteria', 'Phages']",['2299'],['https://mediadive.dsmz.de/strains/medium/1'],['https://mediadive.dsmz.de/pdf/1']
1a,DSMZ,REACTIVATION WITH LIQUID MEDIUM 1,https://mediadive.dsmz.de/medium/1a,['complex'],7.0,['Bacteria'],['209'],['https://mediadive.dsmz.de/strains/medium/1a'],['https://mediadive.dsmz.de/pdf/1a']
2,DSMZ,BACILLUS PASTEURII MEDIUM,https://mediadive.dsmz.de/medium/2,['complex'],,['Bacteria'],['9'],['https://mediadive.dsmz.de/strains/medium/2'],['https://mediadive.dsmz.de/pdf/2']
3,DSMZ,AZOTOBACTER MEDIUM,https://mediadive.dsmz.de/medium/3,['defined'],7.3,['Bacteria'],['40'],['https://mediadive.dsmz.de/strains/medium/3'],['https://mediadive.dsmz.de/pdf/3']
6,DSMZ,ALLANTOIN MINERAL MEDIUM,https://mediadive.dsmz.de/medium/6,['complex'],,['Bacteria'],['22'],['https://mediadive.dsmz.de/strains/medium/6'],['https://mediadive.dsmz.de/pdf/6']
7,DSMZ,ANCYLOBACTER - SPIROSOMA MEDIUM,https://mediadive.dsmz.de/medium/7,['complex'],7.0,['Bacteria'],['41'],['https://mediadive.dsmz.de/strains/medium/7'],['https://mediadive.dsmz.de/pdf/7']
8,DSMZ,"BACILLUS ""RACEMILACTICUS"" MEDIUM",https://mediadive.dsmz.de/medium/8,['complex'],6.8,['Bacteria'],['7'],['https://mediadive.dsmz.de/strains/medium/8'],['https://mediadive.dsmz.de/pdf/8']
9,DSMZ,VY/2 AGAR,https://mediadive.dsmz.de/medium/9,['complex'],7.2,['Bacteria'],['2849'],['https://mediadive.dsmz.de/strains/medium/9'],['https://mediadive.dsmz.de/pdf/9']
9a,DSMZ,"VY/2, REDUCED MEDIUM",https://mediadive.dsmz.de/medium/9a,['complex'],7.2,['Bacteria'],['4'],['https://mediadive.dsmz.de/strains/medium/9a'],['https://mediadive.dsmz.de/pdf/9a']
10,DSMZ,ZYMOMONAS MEDIUM,https://mediadive.dsmz.de/medium/10,['complex'],,['Bacteria'],['9'],['https://mediadive.dsmz.de/strains/medium/10'],['https://mediadive.dsmz.de/pdf/10']
11,DSMZ,MRS MEDIUM,https://mediadive.dsmz.de/medium/11,['complex'],6.2 - 6.5,['Bacteria'],['487'],['https://mediadive.dsmz.de/strains/medium/11'],['https://mediadive.dsmz.de/pdf/11']
11a,DSMZ,MODIFIED MEDIUM 11,https://mediadive.dsmz.de/medium/11a,['complex'],,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/11a'],['https://mediadive.dsmz.de/pdf/11a']
11b,DSMZ,MRS MEDIUM (pre-reduced),https://mediadive.dsmz.de/medium/11b,['complex'],6.2 - 6.5,['Bacteria'],['28'],['https://mediadive.dsmz.de/strains/medium/11b'],['https://mediadive.dsmz.de/pdf/11b']
12,DSMZ,SOIL EXTRACT MEDIUM,https://mediadive.dsmz.de/medium/12,['complex'],6.8 - 7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/12'],['https://mediadive.dsmz.de/pdf/12']
13,DSMZ,BACILLUS ACIDOCALDARIUS MEDIUM,https://mediadive.dsmz.de/medium/13,['complex'],,['Bacteria'],['8'],['https://mediadive.dsmz.de/strains/medium/13'],['https://mediadive.dsmz.de/pdf/13']
14,DSMZ,CLOSTRIDIUM FORMICACETICUM MEDIUM,https://mediadive.dsmz.de/medium/14,['complex'],8.0,['Bacteria'],['8'],['https://mediadive.dsmz.de/strains/medium/14'],['https://mediadive.dsmz.de/pdf/14']
21,DSMZ,SARCINA MEDIUM,https://mediadive.dsmz.de/medium/21,['complex'],6.0,['Bacteria'],['5'],['https://mediadive.dsmz.de/strains/medium/21'],['https://mediadive.dsmz.de/pdf/21']
25,DSMZ,RHODOPSEUDOMONAS GLOBIFORMIS MEDIUM,https://mediadive.dsmz.de/medium/25,['complex'],4.9,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/25'],['https://mediadive.dsmz.de/pdf/25']
26,DSMZ,ACID RHODOSPIRILLACEAE MEDIUM,https://mediadive.dsmz.de/medium/26,['complex'],5.7,['Bacteria'],['7'],['https://mediadive.dsmz.de/strains/medium/26'],['https://mediadive.dsmz.de/pdf/26']
27,DSMZ,RHODOSPIRILLACEAE MEDIUM (modified),https://mediadive.dsmz.de/medium/27,['complex'],6.8,['Bacteria'],['85'],['https://mediadive.dsmz.de/strains/medium/27'],['https://mediadive.dsmz.de/pdf/27']
28,DSMZ,PFENNIG'S MEDIUM I,https://mediadive.dsmz.de/medium/28,['complex'],7.1 - 7.3,['Bacteria'],['60'],['https://mediadive.dsmz.de/strains/medium/28'],['https://mediadive.dsmz.de/pdf/28']
