Name,Name Link,Volume,Number of media,First defined in,First defined in Link
Main sol. 1,https://mediadive.dsmz.de/solutions/S1?p=1,1000 ml,21,Medium 1,https://mediadive.dsmz.de/medium/1
Main sol. 1a,https://mediadive.dsmz.de/solutions/S3?p=1,1000 ml,1,Medium 1a,https://mediadive.dsmz.de/medium/1a
Main sol. 2,https://mediadive.dsmz.de/solutions/S4?p=1,1000 ml,1,Medium 2,https://mediadive.dsmz.de/medium/2
Main sol. 3,https://mediadive.dsmz.de/solutions/S5?p=1,1000 ml,1,Medium 3,https://mediadive.dsmz.de/medium/3
Main sol. 6,https://mediadive.dsmz.de/solutions/S6?p=1,1000 ml,1,Medium 6,https://mediadive.dsmz.de/medium/6
Main sol. 7,https://mediadive.dsmz.de/solutions/S7?p=1,1000 ml,1,Medium 7,https://mediadive.dsmz.de/medium/7
Main sol. 8,https://mediadive.dsmz.de/solutions/S8?p=1,1000 ml,1,Medium 8,https://mediadive.dsmz.de/medium/8
Main sol. 9,https://mediadive.dsmz.de/solutions/S9?p=1,1000 ml,1,Medium 9,https://mediadive.dsmz.de/medium/9
Main sol. 9a,https://mediadive.dsmz.de/solutions/S10?p=1,1000 ml,1,Medium 9a,https://mediadive.dsmz.de/medium/9a
Main sol. 10,https://mediadive.dsmz.de/solutions/S11?p=1,1000 ml,1,Medium 10,https://mediadive.dsmz.de/medium/10
Main sol. 11,https://mediadive.dsmz.de/solutions/S12?p=1,1000 ml,2,Medium 11,https://mediadive.dsmz.de/medium/11
Main sol. 11a,https://mediadive.dsmz.de/solutions/S13?p=1,1000 ml,1,Medium 11a,https://mediadive.dsmz.de/medium/11a
Main sol. 11b,https://mediadive.dsmz.de/solutions/S14?p=1,1000 ml,1,Medium 11b,https://mediadive.dsmz.de/medium/11b
Main sol. 12,https://mediadive.dsmz.de/solutions/S15?p=1,1000 ml,1,Medium 12,https://mediadive.dsmz.de/medium/12
Main sol. 13,https://mediadive.dsmz.de/solutions/S16?p=1,1000 ml,1,Medium 13,https://mediadive.dsmz.de/medium/13
Solution A,https://mediadive.dsmz.de/solutions/S17?p=1,500 ml,1,Medium 13,https://mediadive.dsmz.de/medium/13
Solution B,https://mediadive.dsmz.de/solutions/S18?p=1,500 ml,1,Medium 13,https://mediadive.dsmz.de/medium/13
Main sol. 14,https://mediadive.dsmz.de/solutions/S19?p=1,1011 ml,1,Medium 14,https://mediadive.dsmz.de/medium/14
Trace element solution SL-4,https://mediadive.dsmz.de/solutions/S20?p=1,1000 ml,24,Medium 14,https://mediadive.dsmz.de/medium/14
Main sol. 21,https://mediadive.dsmz.de/solutions/S21?p=1,1000 ml,1,Medium 21,https://mediadive.dsmz.de/medium/21
Main sol. 25,https://mediadive.dsmz.de/solutions/S22?p=2,1000 ml,1,Medium 25,https://mediadive.dsmz.de/medium/25
Main sol. 27,https://mediadive.dsmz.de/solutions/S24?p=2,1000 ml,1,Medium 27,https://mediadive.dsmz.de/medium/27
Trace element solution SL-6,https://mediadive.dsmz.de/solutions/S25?p=2,1000 ml,56,Medium 27,https://mediadive.dsmz.de/medium/27
Main sol. 28,https://mediadive.dsmz.de/solutions/S26?p=2,1000 ml,9,Medium 28,https://mediadive.dsmz.de/medium/28
Solution A,https://mediadive.dsmz.de/solutions/S27?p=2,460 ml,5,Medium 28,https://mediadive.dsmz.de/medium/28
"Sulfide solution, 1.5%",https://mediadive.dsmz.de/solutions/S28?p=2,135 ml,5,Medium 28,https://mediadive.dsmz.de/medium/28
Bicarbonate solution,https://mediadive.dsmz.de/solutions/S29?p=2,50 ml,5,Medium 28,https://mediadive.dsmz.de/medium/28
Resazurin solution,https://mediadive.dsmz.de/solutions/S30?p=2,450 ml,5,Medium 28,https://mediadive.dsmz.de/medium/28
Pfennig's heterotrophic salts solution,https://mediadive.dsmz.de/solutions/S31?p=2,26 ml,5,Medium 28,https://mediadive.dsmz.de/medium/28
Vitamin B12 solution,https://mediadive.dsmz.de/solutions/S32?p=2,100 ml,6,Medium 28,https://mediadive.dsmz.de/medium/28
Trace element solution SL-12 B,https://mediadive.dsmz.de/solutions/S33?p=2,1000 ml,4,Medium 28,https://mediadive.dsmz.de/medium/28
Neutralized sulfide solution 3% (w/v),https://mediadive.dsmz.de/solutions/S34?p=2,100 ml,19,Medium 28,https://mediadive.dsmz.de/medium/28
Main sol. 28a,https://mediadive.dsmz.de/solutions/S35?p=2,1000 ml,1,Medium 28a,https://mediadive.dsmz.de/medium/28a
Main sol. 28b,https://mediadive.dsmz.de/solutions/S36?p=2,1000 ml,1,Medium 28b,https://mediadive.dsmz.de/medium/28b
Main sol. 29,https://mediadive.dsmz.de/solutions/S37?p=2,1000 ml,2,Medium 29,https://mediadive.dsmz.de/medium/29
Solution A,https://mediadive.dsmz.de/solutions/S38?p=2,460 ml,3,Medium 29,https://mediadive.dsmz.de/medium/29
Solution B,https://mediadive.dsmz.de/solutions/S39?p=2,135 ml,3,Medium 29,https://mediadive.dsmz.de/medium/29
Solution C,https://mediadive.dsmz.de/solutions/S40?p=2,50 ml,3,Medium 29,https://mediadive.dsmz.de/medium/29
Solution D,https://mediadive.dsmz.de/solutions/S41?p=2,450 ml,3,Medium 29,https://mediadive.dsmz.de/medium/29
Solution E,https://mediadive.dsmz.de/solutions/S42?p=2,25 ml,3,Medium 29,https://mediadive.dsmz.de/medium/29
Solution F,https://mediadive.dsmz.de/solutions/S43?p=3,100 ml,3,Medium 29,https://mediadive.dsmz.de/medium/29
Na-sesquicarbonate solution,https://mediadive.dsmz.de/solutions/S46?p=3,100 ml,2,Medium 31,https://mediadive.dsmz.de/medium/31
Main sol. 32,https://mediadive.dsmz.de/solutions/S47?p=3,1000 ml,1,Medium 32,https://mediadive.dsmz.de/medium/32
Main sol. 34,https://mediadive.dsmz.de/solutions/S48?p=3,1000 ml,1,Medium 34,https://mediadive.dsmz.de/medium/34
Main sol. 35,https://mediadive.dsmz.de/solutions/S49?p=3,1000 ml,1,Medium 35,https://mediadive.dsmz.de/medium/35
Main sol. 35a,https://mediadive.dsmz.de/solutions/S51?p=3,1030 ml,1,Medium 35a,https://mediadive.dsmz.de/medium/35a
Soution A,https://mediadive.dsmz.de/solutions/S52?p=3,900 ml,1,Medium 35a,https://mediadive.dsmz.de/medium/35a
Solution B,https://mediadive.dsmz.de/solutions/S53?p=3,100 ml,1,Medium 35a,https://mediadive.dsmz.de/medium/35a
Solution C,https://mediadive.dsmz.de/solutions/S54?p=3,20 ml,1,Medium 35a,https://mediadive.dsmz.de/medium/35a
Solution D,https://mediadive.dsmz.de/solutions/S55?p=3,10 ml,1,Medium 35a,https://mediadive.dsmz.de/medium/35a
Main sol. 36,https://mediadive.dsmz.de/solutions/S56?p=3,1000 ml,1,Medium 36,https://mediadive.dsmz.de/medium/36
Main sol. 37,https://mediadive.dsmz.de/solutions/S57?p=3,1000 ml,1,Medium 37,https://mediadive.dsmz.de/medium/37
Main sol. 38,https://mediadive.dsmz.de/solutions/S58?p=3,1000 ml,1,Medium 38,https://mediadive.dsmz.de/medium/38
Main sol. 39,https://mediadive.dsmz.de/solutions/S59?p=3,1000 ml,1,Medium 39,https://mediadive.dsmz.de/medium/39
Main sol. 40,https://mediadive.dsmz.de/solutions/S60?p=3,1000 ml,1,Medium 40,https://mediadive.dsmz.de/medium/40
Main sol. 43,https://mediadive.dsmz.de/solutions/S61?p=3,1000 ml,1,Medium 43,https://mediadive.dsmz.de/medium/43
Main sol. 44,https://mediadive.dsmz.de/solutions/S62?p=3,,1,Medium 44,https://mediadive.dsmz.de/medium/44
Main sol. 46,https://mediadive.dsmz.de/solutions/S63?p=3,1000 ml,1,Medium 46,https://mediadive.dsmz.de/medium/46
Main sol. 48,https://mediadive.dsmz.de/solutions/S64?p=3,1000 ml,1,Medium 48,https://mediadive.dsmz.de/medium/48
Main sol. 49,https://mediadive.dsmz.de/solutions/S65?p=3,1000 ml,1,Medium 49,https://mediadive.dsmz.de/medium/49
Main sol. 51,https://mediadive.dsmz.de/solutions/S66?p=4,1000 ml,1,Medium 51,https://mediadive.dsmz.de/medium/51
Main sol. 52,https://mediadive.dsmz.de/solutions/S67?p=4,1023 ml,1,Medium 52,https://mediadive.dsmz.de/medium/52
Main sol. 53,https://mediadive.dsmz.de/solutions/S68?p=4,1000 ml,1,Medium 53,https://mediadive.dsmz.de/medium/53
Main sol. 54,https://mediadive.dsmz.de/solutions/S69?p=4,1000 ml,1,Medium 54,https://mediadive.dsmz.de/medium/54
Main sol. 54a,https://mediadive.dsmz.de/solutions/S70?p=4,1000 ml,1,Medium 54a,https://mediadive.dsmz.de/medium/54a
54. GLUCOSE YEAST EXTRACT AGAR,https://mediadive.dsmz.de/solutions/S71?p=4,1000 ml,1,Medium 54a,https://mediadive.dsmz.de/medium/54a
545. TRYPTONE SOYA BROTH (TSB),https://mediadive.dsmz.de/solutions/S72?p=4,1000 ml,5,Medium 54a,https://mediadive.dsmz.de/medium/54a
Main sol. 54b,https://mediadive.dsmz.de/solutions/S73?p=4,1000 ml,1,Medium 54b,https://mediadive.dsmz.de/medium/54b
Main sol. 55,https://mediadive.dsmz.de/solutions/S74?p=4,1000 ml,1,Medium 55,https://mediadive.dsmz.de/medium/55
Solution A,https://mediadive.dsmz.de/solutions/S75?p=4,500 ml,1,Medium 55,https://mediadive.dsmz.de/medium/55
Solution B,https://mediadive.dsmz.de/solutions/S76?p=4,300 ml,1,Medium 55,https://mediadive.dsmz.de/medium/55
Solution C,https://mediadive.dsmz.de/solutions/S77?p=4,200 ml,1,Medium 55,https://mediadive.dsmz.de/medium/55
Main sol. 56,https://mediadive.dsmz.de/solutions/S78?p=4,1000 ml,1,Medium 56,https://mediadive.dsmz.de/medium/56
Main sol. 57,https://mediadive.dsmz.de/solutions/S79?p=4,1001 ml,1,Medium 57,https://mediadive.dsmz.de/medium/57
Main sol. 58,https://mediadive.dsmz.de/solutions/S80?p=4,1000 ml,1,Medium 58,https://mediadive.dsmz.de/medium/58
Main sol. 59,https://mediadive.dsmz.de/solutions/S81?p=4,1001 ml,1,Medium 59,https://mediadive.dsmz.de/medium/59
Main sol. 60,https://mediadive.dsmz.de/solutions/S82?p=4,1003 ml,1,Medium 60,https://mediadive.dsmz.de/medium/60
Solution A,https://mediadive.dsmz.de/solutions/S83?p=4,843 ml,1,Medium 60,https://mediadive.dsmz.de/medium/60
Solution B,https://mediadive.dsmz.de/solutions/S84?p=4,50 ml,1,Medium 60,https://mediadive.dsmz.de/medium/60
Solution C,https://mediadive.dsmz.de/solutions/S85?p=4,50 ml,1,Medium 60,https://mediadive.dsmz.de/medium/60
Solution D,https://mediadive.dsmz.de/solutions/S86?p=5,40 ml,1,Medium 60,https://mediadive.dsmz.de/medium/60
Solution E,https://mediadive.dsmz.de/solutions/S87?p=5,10 ml,1,Medium 60,https://mediadive.dsmz.de/medium/60
Solution F,https://mediadive.dsmz.de/solutions/S88?p=5,10 ml,1,Medium 60,https://mediadive.dsmz.de/medium/60
Main sol. 61,https://mediadive.dsmz.de/solutions/S89?p=5,1000 ml,1,Medium 61,https://mediadive.dsmz.de/medium/61
Main sol. 63,https://mediadive.dsmz.de/solutions/S90?p=5,1000 ml,1,Medium 63,https://mediadive.dsmz.de/medium/63
Solution A,https://mediadive.dsmz.de/solutions/S91?p=5,980 ml,1,Medium 63,https://mediadive.dsmz.de/medium/63
Solution B,https://mediadive.dsmz.de/solutions/S92?p=5,10 ml,1,Medium 63,https://mediadive.dsmz.de/medium/63
Solution C,https://mediadive.dsmz.de/solutions/S93?p=5,10 ml,1,Medium 63,https://mediadive.dsmz.de/medium/63
Main sol. 63a,https://mediadive.dsmz.de/solutions/S94?p=5,1000 ml,1,Medium 63a,https://mediadive.dsmz.de/medium/63a
Solution A,https://mediadive.dsmz.de/solutions/S95?p=5,980 ml,1,Medium 63a,https://mediadive.dsmz.de/medium/63a
Solution B,https://mediadive.dsmz.de/solutions/S96?p=5,10 ml,1,Medium 63a,https://mediadive.dsmz.de/medium/63a
Solution C,https://mediadive.dsmz.de/solutions/S97?p=5,10 ml,1,Medium 63a,https://mediadive.dsmz.de/medium/63a
Main sol. 63b,https://mediadive.dsmz.de/solutions/S98?p=5,1000 ml,1,Medium 63b,https://mediadive.dsmz.de/medium/63b
Solution A,https://mediadive.dsmz.de/solutions/S99?p=5,980 ml,1,Medium 63b,https://mediadive.dsmz.de/medium/63b
Solution B,https://mediadive.dsmz.de/solutions/S100?p=5,10 ml,1,Medium 63b,https://mediadive.dsmz.de/medium/63b
Solution C,https://mediadive.dsmz.de/solutions/S101?p=5,10 ml,1,Medium 63b,https://mediadive.dsmz.de/medium/63b
Main sol. 63c,https://mediadive.dsmz.de/solutions/S102?p=5,1000 ml,1,Medium 63c,https://mediadive.dsmz.de/medium/63c
Solution A,https://mediadive.dsmz.de/solutions/S103?p=5,980 ml,1,Medium 63c,https://mediadive.dsmz.de/medium/63c
Solution B,https://mediadive.dsmz.de/solutions/S104?p=5,10 ml,1,Medium 63c,https://mediadive.dsmz.de/medium/63c
Solution C,https://mediadive.dsmz.de/solutions/S105?p=5,10 ml,1,Medium 63c,https://mediadive.dsmz.de/medium/63c
